,cited,citing
292,2116575643,2014050893
293,2094474816,2014625823
294,2018743103,2015214799
295,2043137667,2015330784
296,1872415695,2015657488
297,1872415695,2015970623
298,1777158690,2016144340
299,2026053376,2016253109
300,1777158690,2016265007
301,2022143738,2016303139
302,1872415695,2016424793
303,2116575643,2016734145
304,1963496955,2016803614
305,2129214383,2017231998
306,2026053376,2017765427
307,2018743103,2017962080
308,1955749066,2018037649
309,2149267325,2018399266
310,1872415695,2018743103
311,2090386458,2019906982
312,2128911123,2019906982
313,2090373730,2019961499
314,2021540580,2020254724
315,2128911123,2021248270
316,2116575643,2021817251
317,2022143738,2021936066
318,2094243257,2021963612
319,1955749066,2022118522
320,1777158690,2022126523
321,1955749066,2022344780
322,1872415695,2022588502
323,1955749066,2022646157
324,1963496955,2022700315
325,2116575643,2023136833
326,2043137667,2023266278
327,2128911123,2023497249
328,1777158690,2023578196
329,2090386458,2024734538
330,1955749066,2024916779
331,1955749066,2025281611
332,1955749066,2025307267
333,1955749066,2025568062
334,2116575643,2025820016
335,2148704072,2025820016
336,1955749066,2026314904
337,1955749066,2026524022
338,2116575643,2026729402
339,2091809154,2026755501
340,1872415695,2026871663
341,1955749066,2027237088
342,2116575643,2027440061
343,2116575643,2027565646
344,1872415695,2029221856
345,1872415695,2029356418
346,1872415695,2029866979
347,2091335227,2030066777
348,2031056087,2030209978
349,2026053376,2030478186
350,2128911123,2031008909
351,2043137667,2031351050
352,2055442286,2031509637
353,2034273542,2032268642
354,2128911123,2032503851
355,1872415695,2032689365
356,2129214383,2032778251
357,2116575643,2032841931
358,1872415695,2033075990
359,2079432766,2033375427
360,1872415695,2033508371
361,1955749066,2034107767
362,1872415695,2034309518
363,1872415695,2034675104
364,1963496955,2034705315
365,2034273542,2034851907
366,1872415695,2035467041
367,2090386458,2035471526
368,1872415695,2037111611
369,2128911123,2037260947
370,2149267325,2038079098
371,1990485931,2038233484
372,2038566661,2038233484
373,1955749066,2038370750
374,1872415695,2038548455
375,1955749066,2039027543
376,2094243257,2039027543
377,2128911123,2039106026
378,2021540580,2039202628
379,2013615788,2039289082
380,2116294743,2039313369
381,1872415695,2039397254
382,2034273542,2040096605
383,1872415695,2040118133
384,2091335227,2040540480
385,2116575643,2040660235
386,2148704072,2040697773
387,2079432766,2040967732
388,1955749066,2041178121
389,1872415695,2041234161
390,2116575643,2041336486
391,2128911123,2041669791
392,1872415695,2041726580
393,1872415695,2041768402
394,2090373730,2042090840
395,2116575643,2042597282
396,1872415695,2042756651
397,2090386458,2042852414
398,1955749066,2042993138
399,2090386458,2043241540
400,2128911123,2043241540
401,2116575643,2043693101
402,2090386458,2043702690
403,2128911123,2043702690
404,1955749066,2044191302
405,2129214383,2044352107
406,2116575643,2044430353
407,1872415695,2045292865
408,2038566661,2045450645
409,2094474816,2045530189
410,2116575643,2045678963
411,2116575643,2045788992
412,1872415695,2045872176
413,1872415695,2046009441
414,1999588985,2046110858
415,2128911123,2046175247
416,1955749066,2046321270
417,1872415695,2046437697
418,1955749066,2047060174
419,1872415695,2047150227
420,2013615788,2047169819
421,2128911123,2047169819
422,1983857714,2047385089
423,1777158690,2048418933
424,1872415695,2048518942
425,1955749066,2048672079
426,1777158690,2049261810
427,2090386458,2049388110
428,2090386458,2049829658
429,2021540580,2050025702
430,1872415695,2050094083
431,2031056087,2050415159
432,1777158690,2050549802
433,2091335227,2051005265
434,1872415695,2051408148
435,1872415695,2051540981
436,2116575643,2052337749
437,1777158690,2052348115
438,1777158690,2052431629
439,2094243257,2052601101
440,1872415695,2052701635
441,2021540580,2052911214
442,2148704072,2053334296
443,1989390854,2053374314
444,2116575643,2053502872
445,1872415695,2053543887
446,2034273542,2054544517
447,1872415695,2054689332
448,1872415695,2055170802
449,1872415695,2055269150
450,2087518428,2055458526
451,2128911123,2055858911
452,2129214383,2056288335
453,1955749066,2057228658
454,2128911123,2058235471
455,2149267325,2058244841
456,1989390854,2058537846
457,1955749066,2058912071
458,1989390854,2059236018
459,2128911123,2059608299
460,1964048550,2059615508
461,1955749066,2059737250
462,2045042964,2060083730
463,2149267325,2060147958
464,1872415695,2060931203
465,2090373730,2061254556
466,2021540580,2061332072
467,1955749066,2061412583
468,2116575643,2061522539
469,1872415695,2061578989
470,1963659802,2061578989
471,2018743103,2061578989
472,2116575643,2061593133
473,2128911123,2061922306
474,2128911123,2062084200
475,2026053376,2062219572
476,2026053376,2062292194
477,1985937780,2062434581
478,2090386458,2062467218
479,2128911123,2062624789
480,2116575643,2062696504
481,2090386458,2062819874
482,1955749066,2062888282
483,2090386458,2063239274
484,2066346768,2064404052
485,1872415695,2064438797
486,1970317281,2064527941
487,2055442286,2064609540
488,1872415695,2064621604
489,1872415695,2064835100
490,2148704072,2065627146
491,1955749066,2065816220
492,2090386458,2066059158
493,1872415695,2066338617
494,1872415695,2066681638
495,1955749066,2067562038
496,1777158690,2067979915
497,2059163840,2068026418
498,2094474816,2069179695
499,2116575643,2069296036
500,2021540580,2069436057
501,2034273542,2069517114
502,1985937780,2069797655
503,1994293819,2070536559
504,2090386458,2070593969
505,1989390854,2070850679
506,2116575643,2071570676
507,1999588985,2071588009
508,1872415695,2071707759
509,2129214383,2072119404
510,2090386458,2072182213
511,2128911123,2072182213
512,1872415695,2072727510
513,2026053376,2073081658
514,2090373730,2073303348
515,1955749066,2073305391
516,2128911123,2073752767
517,1872415695,2074291328
518,1777158690,2074391434
519,2116294743,2074473695
520,1955749066,2074505800
521,2066346768,2074697036
522,2031056087,2075201293
